anahtar,grup,turkce,ingilizce,nerede
t403c9466,arayuz," — {0}, sonra ordu saatte %{1} firar verir"," — {0}, then the army deserts at {1}% per hour","apps/web/src/components/MobilKabuk.tsx:152"
td402df3c,arayuz," — depo dolu, üretim boşa gidiyor","","apps/web/src/components/MobilKabuk.tsx:155"
t29564332,arayuz," — eksiye gidiyor"," — going negative","apps/web/src/components/MobilKabuk.tsx:153"
tca32a31c,arayuz," — medeniyetinin tahtı · ","","apps/web/src/components/DunyaSeridi.tsx:106"
t88b01120,arayuz," — senin","","apps/web/src/screens/Medeniyet.tsx:188"
te04af9d4,arayuz," · {0} bölgen"," · {0} yours here","apps/web/src/screens/Harita.tsx:1074"
teaf79905,arayuz," · {0} cihaz"," · {0} devices","apps/web/src/components/BildirimKarti.tsx:99"
t5fc25c41,arayuz," · alırsan birlik {0}"," · take it for unity {0}","apps/web/src/screens/Harita.tsx:1072"
tf308233e,arayuz," · başarısızsa eşya sağlam kalır"," · if it fails the item stays intact","apps/web/src/screens/Demirhane.tsx:301"
t21aeb7e9,arayuz," · birlik {0}"," · unity {0}","apps/web/src/screens/Harita.tsx:1064"
t64fe69d3,arayuz," · en az Sv{0}"," · at least Lvl{0}","apps/web/src/screens/Ittifak.tsx:450"
t03cbc446,arayuz," · tek bölgen"," · your only one here","apps/web/src/screens/Harita.tsx:1064"
t94503747,arayuz," +Taht"," +Throne","apps/web/src/screens/LordEkrani.tsx:351 | apps/web/src/screens/Malikane.tsx:122"
t69efe19a,arayuz," birim"," units","apps/web/src/screens/Demirhane.tsx:141"
t980ee095,arayuz," Daha büyük bir başkent daha yükseğine izin verir."," A larger capital allows a higher one.","apps/web/src/screens/Sehir.tsx:477"
t8c81192e,arayuz," eksik."," missing.","apps/web/src/components/ui.tsx:140"
t55e4602a,arayuz," kırıyor: "," beats: ","apps/web/src/components/KarsiIpuclari.tsx:60"
tb7db834e,arayuz," tahtta · ","","apps/web/src/components/DunyaSeridi.tsx:106"
ta51e215e,arayuz," ve ","","apps/web/src/components/DizilimSemasi.tsx:69 | packages/shared/src/bina.ts:254 | packages/shared/src/ogretici.ts:355"
tae835c20,arayuz," zayıf: "," weak against: ","apps/web/src/components/KarsiIpuclari.tsx:60"
tad25400b,arayuz,"— CC BY 3.0","— CC BY 3.0","apps/web/src/screens/Giris.tsx:316"
t56d6722a,arayuz,"— medeniyetin","","apps/web/src/screens/Harita.tsx:870"
td08a2005,arayuz,"— savaşa girdikçe büyür.","","apps/web/src/screens/Generaller.tsx:98"
t8c04828d,arayuz,"— ve en şöhretli lord sensin:","","apps/web/src/screens/LordEkrani.tsx:403"
tb5cd679c,arayuz,", {0} sürüyor",", {0} in progress","apps/web/src/screens/Sehir.tsx:726"
